—	10*	260*	510*	1,010*	1,010*	1,060*	1,010*	1,010*	250*	500*	1,000*	2,010*	2,510*	2,510*	2,260*	3,510*	3,535*	3,560*	3,660*	4,010*	5,010*	 —	2,010*	4,010*	9,010*	9,710*	4,510*	3,510*	4,010*	4,010*	4,010*	4,510*	6,510*	6,510*	2,200*	4,100*	 6,300	 8,650	 8,650
10	 —	250*	500*	1,000*	1,000*	1,050*	1,000*	1,000*	 260	 510	 1,010	2,000*	2,500*	2,500*	2,250*	3,500*	3,525*	3,550*	3,650*	4,000*	5,000*	 —	2,000*	4,000*	9,000*	9,700*	4,500*	3,500*	4,000*	4,000*	4,000*	4,500*	6,500*	6,500*	 2,210	 4,110	 6,310	 8,660	 8,660
260	 250	 —	250*	 1,250	750*	800*	750*	750*	 510	 760	 1,260	 2,250	 2,750	 2,750	 2,500	 3,750	 3,775	 3,800	 3,900	4,250	 5,250	 —	1,750*	3,750*	8,750*	9,450*	4,250*	3,250*	3,750*	3,750*	3,750*	4,250*	6,250*	6,250*	 2,460	 4,360	 6,560	 8,910	 8,910
510	 500	250*	 —	 1,500	500*	550*	500*	500*	 760	 1,010	 1,510	 2,500	 3,000	 3,000	 2,750	 4,000	 4,025	 4,050	 4,150	4,500	 5,500	 —	1,500*	3,500*	8,500*	9,200*	4,000*	3,000*	3,500*	3,500*	3,500*	4,000*	6,000*	6,000*	 2,710	 4,610	 6,810	 9,160	 9,160
1,010	 1,000	 1,250	 1,500	 —	 2,000	 2,050	 2,000	 2,000	 1,260	 1,510	 2,010	1,000*	1,500*	1,500*	1,250*	2,500*	2,525*	2,550*	2,650*	3,000*	4,000*	 —	 3,000	 5,000	 10,000	 10,700	 5,500	 4,500	 5,000	 5,000	 5,000	 5,500	 7,500	 7,500	 3,210	 5,110	 7,310	 9,660	 9,660
1,010	 1,000	 750	 500	 2,000	 —	1,050*	1,000*	1,000*	 1,260	 1,510	 2,010	 3,000	 3,500	 3,500	 3,250	 4,500	 4,525	 4,550	 4,650	 5,000	 6,000	 —	2,000*	4,000*	9,000*	9,700*	4,500*	3,500*	4,000*	4,000*	4,000*	4,500*	6,500*	6,500*	 3,210	 5,110	 7,310	 9,660	 9,660
1,060	 1,050	 800	 550	 2,050	 1,050	 —	50*	 1,050	 1,310	 1,560	 2,060	 3,050	 3,550	 3,550	 3,300	 4,550	 4,575	 4,600	 4,700	 5,050	 6,050	 —	 2,050	 4,050	 9,050	 9,750	 4,550	 3,550	 4,050	 4,050	 4,050	 4,550	 6,550	 6,550	 3,260	 5,160	 7,360	 9,710	 9,710
1,010	 1,000	 750	500*	 2,000	1,000*	50*	 —	1,000*	 1,260	 1,510	 2,010	 3,000	 3,500	 3,500	 3,250	 4,500	 4,525	 4,550	 4,650	 5,000	 6,000	 —	2,000*	4,000*	9,000*	9,700*	4,500*	3,500*	4,000*	4,000*	4,000*	4,500*	6,500*	6,500*	 3,210	 5,110	 7,310	 9,660	 9,660
1,010	 1,000	 750	500*	 2,000	1,000*	50*	1,000*	 —	 1,260	 1,510	 2,010	 3,000	 3,500	 3,500	 3,250	 4,500	 4,525	 4,550	 4,650	 5,000	 6,000	 —	2,000*	4,000*	9,000*	9,700*	4,500*	3,500*	4,000*	4,000*	4,000*	4,500*	6,500*	6,500*	 3,210	 5,110	 7,310	 9,660	 9,660
250	 260	 510	 760	 1,260	 1,260	 1,310	 1,260	 1,260	 —	250*	750*	 2,260	 2,760	 2,760	 2,510	 3,760	 3,785	 3,810	 3,910	 4,260	 5,260	 —	 2,260	 4,260	 9,260	 9,960	 4,760	 3,760	 4,260	 4,260	 4,260	 4,760	 6,760	 6,760	1,950*	3,850*	 6,050	 8,400	 8,400
500	 510	 760	 1,010	 1,510	 1,510	 1,560	 1,510	 1,510	250*	 —	500*	 2,510	 3,010	 3,010	 2,760	 4,010	 4,035	 4,060	 4,160	 4,510	 5,510	 —	 2,510	 4,510	 9,510	 10,210	 5,010	 4,010	 4,510	 4,510	 4,510	 5,010	 7,010	 7,010	1,700*	3,600*	 5,800	 8,150	 8,150
1,000	 1,010	 1,260	 1,510	 2,010	 2,010	 2,060	 2,010	 2,010	 750	500*	 —	 3,010	 3,510	 3,510	 3,260	 4,510	 4,535	 4,560	 4,660	5,010	 6,010	 —	 3,010	 5,010	 10,010	 10,710	 5,510	 4,510	 5,010	 5,010	 5,010	 5,510	 7,510	 7,510	1,200*	3,100*	 5,300	 7,650	 7,650
2,010	 2,000	 2,250	 2,500	1,000*	 3,000	 3,050	 3,000	 3,000	 2,260	 2,510	 3,010	 —	500*	500*	250*	1,500*	1,525*	1,550*	1,650*	2,000*	3,000*	 —	 4,000	 6,000	 11,000	 11,700	 6,500	 5,500	 6,000	 6,000	 6,000	 6,500	 8,500	 8,500	 4,210	 6,110	 8,310	 10,660	10,660
2,510	 2,500	 2,750	 3,000	 1,500	 3,500	 3,550	 3,500	 3,500	 2,760	 3,010	 3,510	500*	 —	1,000*	750*	2,000*	2,025*	2,050*	2,150*	2,500*	3,500*	 —	 4,500	 6,500	 11,500	 12,200	 7,000	 6,000	 6,500	 6,500	 6,500	 7,000	 9,000	 9,000	 4,710	 6,610	 8,810	 11,160	 11,160
2,510	 2,500	 2,750	 3,000	 1,500	 3,500	 3,550	 3,500	 3,500	 2,760	 3,010	 3,510	500*	1,000*	 —	250*	1,000*	1,025*	1,050*	1,150*	1,500*	2,500*	 —	 4,500	 6,500	 11,500	 12,200	 7,000	 6,000	 6,500	 6,500	 6,500	 7,000	 9,000	 9,000	 4,710	 6,610	 8,810	 11,160	 11,160
2,260	 2,250	 2,500	 2,750	 1,250	 3,250	 3,300	 3,250	 3,250	 2,510	 2,760	 3,260	250*	750*	250*	 —	1,250*	1,275*	1,300*	1,400*	1,750*	2,750*	 —	 4,250	 6,250	 11,250	 11,950	 6,750	 5,750	 6,250	 6,250	 6,250	 6,750	 8,750	 8,750	 4,460	 6,360	 8,560	 10,910	 10,910
3,510	 3,500	 3,750	 4,000	 2,500	 4,500	 4,550	 4,500	 4,500	 3,760	 4,010	 4,510	1,500*	2,000*	1,000*	1,250*	 —	25*	50*	150*	2,500*	3,500*	 —	 5,500	 7,500	 12,500	 13,200	 8,000	 7,000	 7,500	 7,500	 7,500	 8,000	 10,000	 10,000	 5,710	 7,610	 9,810	 12,160	 12,160
3,535	 3,525	 3,775	 4,025	 2,525	 4,525	 4,575	 4,525	 4,525	 3,785	 4,035	 4,535	1,525*	2,025*	1,025*	1,275*	25*	 —	25*	125*	2,525*	3,525*	 —	 5,525	 7,525	 12,525	 13,225	 8,025	 7,025	 7,525	 7,525	 7,525	 8,025	 10,025	 10,025	 5,735	 7,635	 9,835	 12,185	 12,185
3,560	 3,550	 3,800	 4,050	 2,550	 4,550	 4,600	 4,550	 4,550	 3,810	 4,060	 4,560	1,550*	2,050*	1,050*	1,300*	50*	25*	 —	100*	2,550*	3,550*	 —	 5,550	 7,550	 12,550	 13,250	 8,050	 7,050	 7,550	 7,550	 7,550	 8,050	 10,050	 10,050	 5,760	 7,660	 9,860	 12,210	 12,210
3,660	 3,650	 3,900	 4,150	 2,650	 4,650	 4,700	 4,650	 4,650	 3,910	 4,160	 4,660	1,650*	2,150*	1,150*	1,400*	150*	125*	100*	 —	2,650*	3,650*	 —	 5,650	 7,650	 12,650	 13,350	 8,150	 7,150	 7,650	 7,650	 7,650	 8,150	 10,150	 10,150	 5,860	 7,760	 9,960	 12,310	 12,310
4,010	 4,000	 4,250	 4,500	 3,000	 5,000	 5,050	 5,000	 5,000	 4,260	 4,510	 5,010	2,000*	2,500*	1,500*	1,750*	2,500*	2,525*	2,550*	2,650*	 —	1,000*	 —	 6,000	 8,000	 13,000	 13,700	 8,500	 7,500	 8,000	 8,000	 8,000	 8,500	 10,500	 10,500	 6,210	 8,110	 10,310	 12,660	 12,660
6,510	 6,500	 6,750	 7,000	 5,500	 6,000	 7,550	 7,500	 7,500	 6,760	 7,010	 7,510	 4,500	 5,000	 4,000	 4,250	 5,000	 5,025	 5,050	 5,150	2,500*	 —	0*	 8,500	 10,500	 15,500	 16,200	 9,500	 10,000	 10,500	 10,500	 10,500	 11,000	 13,000	 13,000	 7,210	 9,110	 11,310	 13,660	 13,660
4,510	 4,500	 4,750	 5,000	 3,500	 5,500	 5,550	 5,500	 5,500	 4,760	 5,010	 5,510	 2,500	 3,000	2,000*	2,250*	3,000*	3,025*	3,050*	3,150*	500*	1,500*	 —	 6,500	 8,500	 13,500	 14,200	 9,000	 8,000	 8,500	 8,500	 8,500	 9,000	 11,000	 11,000	 6,710	 8,610			
2,010	 2,000	 1,750	 1,500	 3,000	 2,000	 2,050	 2,000	 2,000	 2,260	 2,510	 3,010	 4,000	 4,500	 4,500	 4,250	 5,500	 5,525	 5,550	 5,650  6,000	 7,000	 —	 —	2,000*	7,000*	7,700*	2,500*	1,500*	2,000*	2,000*	2,000*	2,500*	4,500*	4,500*	 4,210	 6,110	 8,310	 10,660	 10,660
4,010	 4,000	 3,750	 3,500	 5,000	 4,000	 4,050	 4,000	 4,000	 4,260	 4,510	 5,010	 6,000	 6,500	 6,500	 6,250	 7,500	 7,525	 7,550	 7,650	 8,000	 9,000	 —	2,000*	 —	5,000*	5,700*	4,500*	3,500*	4,000*	4,000*	4,000*	4,500*	6,500*	6,500*	 6,210	 8,110	 10,310	 12,660	 12,660
9,010	 9,000	 8,750	 8,500	 10,000	 9,000	 9,050	 9,000	 9,000	 9,260	 9,510	 10,010	 11,000	 11,500	 11,500	 11,250	 12,500	12,525	 12,550	 12,650	 13,000	 14,000	 —	 7,000	 5,000	 –	700*	 9,500	 8,500	 9,000	 9,000	 9,000	 9,500	 11,500	 11,500	 11,210	 13,110	 15,310	 17,660	 17,66
9,710	 9,700	 9,450	 9,200	 10,700	 9,700	 9,750	 9,700	 9,700	 9,960	 10,210	 10,710	 11,700	 12,200	 12,200	 11,950	 13,200	 13,225	 13,250	 13,350	 13,700	 14,700	 —	 7,700	 5,700	700*	 —	 10,200	 9,200	 9,700	 9,700	 9,700	 10,200	 12,200	 12,200	 11,910	 13,810	 16,010	 18,360	 18,360
4,510	 4,500	 9,450	 4,250	 4,000	 4,500	 5,500	 4,550	 4,500	 4,760	 5,010	 5,510	 6,500	 7,000	 7,000	 6,750	 8,000	 8,025	 8,050	 8,150	 8,500	 9,500	 —	 2,500	 4,500	 9,500	 10,200	 —	 4,000	 4,500	 4,500	 4,500	 5,000	 7,000	 7,000	 6,710	 8,610	 10,810	 13,16	 13,160
3,510	 3,500	 3,250	 3,000	 4,500	 3,500	 3,550	 3,500	 3,500	 3,760	 4,010	 4,510	 5,500	 6,000	 6,000	 5,750	 7,000	 7,025	 7,050	 7,150	 7,500	 8,500	 —	1,500*	3,500*	8,500*	9,200*	4,000*	 —	500*	500*	500*	1,000*	3,000*	3,000*	 5,710	 7,610	 9,810	 12,160	 12,160
4,010	 4,000	 3,750	 3,500	 5,000	 4,000	 4,050	 4,000	 4,000	 4,260	 4,510	 5,010	 6,000	 6,500	 6,500	 6,250	 7,500	 7,525	 7,550	 7,650	 8,000	 9,000	 —	2,000*	4,000*	9,000*	9,700*	4,500*	500*	 —	1,000*	1,000*	1,500*	3,500*	3,500*	 6,210	 8,110	 10,310	 12,660	 12,660
4,010	 4,000	 3,750	 3,500	 5,000	 4,000	 4,050	 4,000	 4,000	 4,260	 4,510	 5,010	 6,000	 6,500	 6,500	 6,250	 7,500	 7,525	 7,550	 7,650	 8,000	 9,000	 —	2,000*	4,000*	9,000*	9,700*	4,500*	500*	1,000*	 —	1,000*	1,500*	3,500*	3,500*	 6,210	 8,110	 10,310	 12,660	 12,660
4,010	 4,000	 3,750	 3,500	 5,000	 4,000	 4,050	 4,000	 4,000	 4,260	 4,510	 5,010	 6,000	 6,500	 6,500	 6,250	 7,500	 7,525	 7,550	 7,650	 8,000	 9,000	 —	2,000*	4,000*	9,000*	9,700*	4,500*	500*	1,000*	1,000*	 —	1,500*	3,500*	3,500*	 6,210	 8,110	 10,310	 12,660	 12,660
4,510	 4,500	 4,250	 4,000	 5,500	 4,500	 4,550	 4,500	 4,500	 4,760	 5,010	 5,510	 6,500	 7,000	 7,000	 6,750	 8,000	 8,025	 8,050	 8,150	 8,500	 9,500	 —	 2,500	 4,500	 9,500	 10,200	 5,000	1,000*	1,500*	1,500*	1,500*	 —	2,000*	2,000*	 6,710	 8,610	 10,810	 13,160	 13,160
